"","x"
"142"," client dulles virginia seeking ui designer excellent opportunity work one countrys leading internet companies cool head grace pressure ability work alongside variety skill levels personalities will required duties include limited design ui web mobile based concepts templates wireframes sketches diagrams revise iterate designs based feedback annotate functionality actionstargets interactions ensure designs meet internalexternal strategic brand requirements deliver optimized files according developer specifications requirements work directly product owners team members meet project goals provide additional perspective help continuously improve user experience work closely design director manage project deadlines participate meetings discussions facilitate team workflow requirements experience working mobile firststrategy years experience designing interfaces web mobile products strong portfolio work urls successfully launched products required understanding complex ux concepts user needs expert knowledge adobe creative suite solid understanding typography color grids etc strong attention detail commitment delivering polished designs tight deadlines positive collaborative team player can work well internal teams consultants adaptable able change priorities iterate rapidly thrive pressure degree graphic design visual arts related field preferred proficient organizing managing information accurately versatile use fresh creative elements ideas experienced designing web mobile platforms able take direction work independently creatively quickly comfortable rapidfire communication email several people ability take direction work independently organized multitasker can selfmanage time proactively "
"143","sgi focused helping customers solve demanding technology challenges delivering high performance computing server storage data center cloud computing solutions professional services seeking ui frontend designer join team longmont co candidate able quickly handcode clean html css comps wireframes person will take new development initiatives platform enhancements storage controller gui will responsible frontend development clientside interactions using html xhtml css xml javascript related interactive technologies strong ui design skills leadership ability web development environment ability define apis front end back end html css jquery d javascript ability collaborate everyone product development team handson development design along leading team work crossfunctional product development team bringing key areas product design finished product years experience proficiency website technologies html css javascript full understanding crossbrowser rendering capabilities knowledge javascript frameworks jquery etc strong communication skills written verbal strong critical thinking systematic problem solving skills websocket experience strong plus hands experience dynamic scripting languages like python ruby plus"
"144","company la seeking experienced interactive ui designer onsite work start immediately ideal ui designer will extensive experience webmobileinteractive online design deep understanding overall ui familiarity userflowswireframes etc please apply position ui designer can provide significant samples mobile web tablet experience ui designer requirements ui design mobile native apps experience plus extensive knowledge various usercentered design methods advanced level skills photoshop illustrator indesign required"
"145","location los angeles contract freelance pay rate doe premier los angelesbased company seeking experienced interactive uxui designer position uxui designer onsite position start immediately ideal uxui designer will extensive experience webmobileinteractive online design looking uxui designer deep understanding overall uiux experience userflowswireframes etc please apply re available work onsite"
"146","ui developer client looking someone enough experience able recommend document standards ui design several projects person will asked multitask external internal facing websites will working ui individual several senior level java developers key word transactional websites static content job duties minimal direction produces web sites portals web products clients transactional websites clients bi reporting applications will internal occasionally external transactional websites using multiple software tools principles design performs tasks concept development generating graphics according specification html construction web site pages related elements products requirements bachelors degree background graphics design fine art commercial illustration related coursework desired years computer graphics artist using webbased technologies web page design html required experience design development transactional based bi dashboardreporting websites preferred thorough knowledge graphics types standards current internet protocols technologies also required strong communication skills ability multitask manage multiple projects necessary knowledge html javascript strongly desired"
"147","full time employment opportunity ui designer nashville tn type fulltime permanent syntel inc working syntels client office location location nashvilletn job description ui designer exposure net good communication coordination skills will required interact business analysts teams technical team times business team"
"148","duration ongoing location nyc status contract client educational company seeking midlevel freelance uxui designer candidate role uxui designer must strong understanding user experience design ecommerce wireframing must able design effectively ux ui projects including website tablet apps mobile email campaigns uxui designer experienceskills required bachelors degree years experience uxui design proven experience ecommerce wireframing interaction design experience including websites applications etc portfolio demonstrates site maps storyboards flowcharts importantly wireframes ability lead collaborate teams complete ux ui designs concept production including research testing optimization"
"149","primary location san francisco ca estimated length contract period month minimum ui designer will establish direct creative vision project ui designer will collaborate within engineering team agileenvironment efficiently create standards convey design solutions order optimize usability clients webbased application well slick look feel person role will create graphic designs also fluent frontend technologies ability work developers implement designs responsibilities include limited apply industry ui best practices work architect business analyst qa developers choose frontend technologies provide ui guidance ui testing develop guide lead implement branded themes maintain consistent css usage styles mockup new pocs wireframes convey designs get feedback provide guidance browser support maintenance work developers endusers management tune performance application based web best practices qualifications ability create elegant usable intuitive user interfaces expert web technologies htmlcssjs jquery json ajax jsp jsf struts spring mvc ability quickly prototype ui designs keen eye producing clean semantic markup ability create wellabstracted reusable ui components designing building pixelperfect crossbrowser compatible uis capable working independently taking ownership ui layer years experience design frontend web development"
"150","etouch systems corp looking user interface ui visual designer contract basis project direct client details position job title user interface ui visual designer duration month contract assignment location santa clara ca responsibilities concept design produce interactive creative start finish contribute product development documentation brand enthusiast platforms minimum job qualifications flash expert adobe creative suite photoshop illustrator effects final cut pro action script javascript xml flash full creative lifecycle experience concept production functional ad creative creative designing mobile applications must ideal candidate will highly motivated independent worker excellent project time management skills ability handle prioritize multiple projects simultaneously creative resourceful problem solving mindset excellent attention detail craftsmanship refined written oral communication skills preferred job qualifications years interactive experience expert action script javascript xml flash strong conceptual visual background web design experience working rapid concepting short delivery time frames"
"151","duration freelance pay doe company westside seeking experienced interactive ux ui designer onsite project start immediately ideal ux ui designer will extensive experience webmobileinteractive online design deep understanding overall uiux strategy userflowswireframes etc essential role ux ui designer ux ui designer requirements extensive knowledge various usercentered design methods advanced level skills photoshop illustrator indesign required"
"152","established company westside looking experienced ui designer years experience digital space candidates role ui designer must background responsive design usercentric design methods candidates role ui designer must highly strategic detailoriented organized processfocused advanced skills photoshop illustrator indesign visio required ui designer responsibilities include assessing existing properties functionality appearance content developing wireframes include content function navigation specs unique screen types"
"153","contract hireui designer company looking energetic creative technically savvy designer work within interactive design services team ui designer will work within collaborative crossfunctional project team design portals applications web properties ui designer will contribute visual design positively impacts overall user experience following usercentered design process considering appropriate technology platforms ui designer will responsible following work within collaborative team develop visual designs next generation digital properties web sites mobile apps design visually stunning cuttingedge graphics produce visual assets needed development team contribute building company brand executing user interface design consistently deliverables partnership user experience designers design concepts information architecture navigation page layout information displays interactional components web sites mobile applications research communicate trends bestpractices related visual design branding develop visual style guides documentation aid team consistently producing graphics web sites applications portals preferred experience skills minimum years experience designing web applications mobile following usercentered design principles proficient graphic design tools adobe creative suite knowledge understanding html css javascript wc web standards desired experience designing multiple browsers platforms including desktop tablet mobile knowledge understanding accessibility principles techniques desired experience developing accessible user interfaces plus exposure general understanding interface modeling tools visio axure irise plus experience working within usercentered design methodology understanding human factors principles experience working within agile plus ability understand translate usability research findings information architecture design solutions ability work collaboratively team internal clients ability work pressure meet deadlines high energy positive attitude interest learning new technology skills ability work developers make design concepts reality strong communication skills knowledge video motion graphics flash flex html canvas photography plus undergraduate graduate degree web design interaction design multimedia visual design design related field agency experience plus portfolio required"
"154","nucloud global seeking talented ui designer ux skills create amazing user experiences st louis missouri offices ideal candidate eye clean artful design possess superior ui ux skills excellent handson designer can create exciting results participate lead crossfunctional teams collaborative design process ideal candidate excellent communication problemsolving skills understand constraints quickly able create intuitive optimized brandconsistent experiences users addition visual design principles candidate familiar ucd methodologies design cycles usability best practices responsibilities translate highlevel requirements interaction flows rapid prototypes user stories storyboards information architectures interaction designs visual designs web mobile applications collaborate software engineers define implement innovative solutions product direction visuals experience execute visual design stages concept final handoff conceptualize original ideas bring simplicity user friendliness complex design roadblocks create storyboards user flows process flows site maps effectively communicate interaction design ideas present designs key milestone deliverables peers executive level stakeholders conduct user research evaluate user feedback establish promote design guidelines best practices standards qualifications demonstrated intuitive engaging ui design simple clean style pixellevel attention detail via portfolio demonstrated fluency adobe creative suite concentration photoshop illustrator experience html css php html javascript plus degree graphic design communication design information design interaction design related field related field combination education equivalent experience work environment job located st louis missouri office environment diverse crossfunctional teams focused application web development travel required approximately must eligible obtain passport strong verbal written english skills required"
"155"," ui designer prototyping wireframing experience please read will relocate pittsburgh great opening need position bachelors degree visual design human computer interaction hci related years ui design experience bc web environment experienced taking project concept prototyping layout taking website webpage live working business stakeholders creative develop dynamic user interfaces ultimately lead increased sales developing functional specifications easily translated web pages software development team developing site maps wireframes navigation flows truly understanding customer able speak design competitive salary benefits bonus room growth relocation assistance required dynamic uiux specialist apply today must authorized work united states fulltime basis employer"
"156"," client looking ui developer newly formed team tampa florida fl looking person customize box pages responsibilities may include user interface ui developer work direction provide indepth understanding usercentered design theory practice able thrive big picture finedetail worlds uiux role will work application development team designcreate online experiences including custom call center application external customer web sites related applications tools participate discovery sessions assist defining business requirements discover user personasarchetype interpret user goalspriorities serve consultant detailed design phase reviewing interaction design copy visual design usability best practices conduct formal guerilla user research develop detailed site maps will define page hierarchy navigation schema taxonomy nomenclature develop wireframes content outlines mock upsstoryboards interaction notes well paper interactive prototypes develop content workflow maps indicating process systems implications navigation content relationships assist development standards methodologies repeatable processes delivery ui ux services mandatory skills advanced css html java server pages java graphic design skills oracle adf huge plus"
"157"," user experience designer responsible creating overall look feel web site web application individuals role must able work part team clientfacing capacity gather essential needs requirements translate visual design concepts prototypes consistent brand personality client important role organization requires strong sense design exceptional communication skills written oral time management skills leadership potential understanding business analysis process duties responsibilities assist project requirements gathering project definition use case documentation develop wireframes flowcharts concept design user interfaces define graphic standards create visual prototypes formatted graphics css styles monitor support development testing processes provide additional graphics css styles changesupdates needed effectively collaborate internal client team members accurately document work timely manner proactive delivery assigned tasks schedule job requirements requirements minimum years experience user experience design web design related portfolio successful projects thorough understanding modern web technologies web standards including cms platforms browsers wide range computers mobile devices years solid experience adobe creative suite specifically photoshop dreamweaver edge indesign illustrator deep knowledge css html javascript troubleshooting problem resolution skills ability work independently part team bachelors degree related field additional competencies desired mobile specific web app design experience creating responsive designs adapt wide variety screen resolutions experience source control applications like subversion experience usability testing focus groups"
"158","job description experis currently hiring analyst columbus oh member user experience team major client user experience specialist t will support digital marketing ue team project consultationwork long term consulting engagement roles responsibilities user interface designer will work closely visual designers user researchers business leads application developers design develop user experience documentation including sitemaps wireframes task flows interaction designs use cases flow charts navigation models development tools years professional experience developing interactive products information architect interaction designer experience designer expertise web design including html web browser capabilities new technologies experience observing user research translating user research design decisions excellent oral written communication presentation skills additional skills web design required expert knowledge html required indepth knowledge develop rqmts required indepth knowledge manage projects highly desired working knowledge program highly desired basic knowledge oral written communication skills required expert knowledge word excel required working knowledge"
"159"," client fortune company one largest independent software corporations world company supports software runs mainframe distributed virtualized cloud environment position user experience consultant location santa clara ca contract months user experience designer creative problem solver transforms business goals user needs highly usable innovative user experiences delight customers position key member ux design team defining product direction user interface requirements based user research functional requirements business goals working deep understanding usercentered design methodologies interaction design principles role involved aspects product lifecycle ideation concept validation implementation strong analytical skills comprehensive knowledge advanced hci usercentered design principles good knowledge standard design tools create wide variety deliverables including flow maps wireframes mockups prototypes strong problem solving ui design skills passionate user experience ability work effectively within agile development process good understanding frontend web technologies impact feasibility proposed design solutions must selfstarter able manage multiple complex projects tight deadlines must knowledgeable latest developments saas social media mobile markets strong communication people skills working fastpaced multidisciplinary collaborative environment"
"160"," looking multiple user experience architects must excellent communication design skills will design present user experience documentation including wireframes mockups flows conceptual diagrams task flows site maps client skills must able envision design user experience onboarding error correction completion conduct research including surveys contextual interviews user persona development usability studies understand user experience idealized client requirements experience working information architect interaction designer user experience designer experience retail merchandisingmarketing advertising product development ecommerce related field experience usability testing including preparation execution analysis familiarity current user experience usability research theories best practices methodologies typical years experience field years degree related field information design humancomputer interaction library science cognitive science graphic design industrial design"
"161","franklin templeton investments seeking qualified ux designer global web digital marketing departments user experience team role supports departments objectives providing wireframes prototypes user interface specifications documentation usability standards external internal digital products including desktop websites smartphone tablet websitesapplications marketing campaigns enterprise web applications role will also conduct usability testing research methods responsibilities include create user interface specifications wireframes interactive prototypes broad range desktop web mobile interfaces analyze data research findings callcenter logs web metrics survey data interviews focus groups etc synthesize actionable outcomes participate execution range user research activities usability testing user interviews surveys methodologies participate project meetings crossteam efforts ensure successful execution product designs consulting phases project lifecycle including testing support uat document ui standards provide guidance reference functional roles outsourced resources ensure consistent high quality user experience define document task flows visualize requirements specifications ideal candidates will solid experience creating wireframes prototypes experience conducting various usability ux research methodologies demonstrated experience designing mobile interfaces tablet smartphone ability transfer requirements effective usable designs excellent documentation presentation skills understanding appreciation usercentered design process methodologies familiarity css html cms web platforms technology impacts design ability manage multiple projects prioritize workload positive outlook ability collaborate broad range individuals skilled use axure visio powerpoint standard use microsoft office products business systems pc computers additional desirable qualifications domain knowledge financial services mutual fund industry financial advisors bb business model professional degree certificate humancomputer interaction human factors engineering interaction design similar"
"162","job details ui developerux designer css html javascript bootstrap less needed social commerce startup santa monica profitable thriving startup laundry list big name clients focus ecommerce social twist help new apps beautiful usable hiring user interface developer user experience designer solid css html javascript bootstrap less experience background building clean elegant designs webbased applications required solid experience user experienceinteractionuser interface design deep knowledge experience javascript html strong css experience least one framework like bootstrap foundation experience style sheet languages extensions like less sass background user experience design web applications just desktop applications splash pages mobile apps experience designing interaction within applications just visuals background performing usability studies usability testing bachelors degree higher design humancomputer interaction hci degree absolute must blend user experience design user interface development build prototypes final frontends web mobilebased applications working closely product management software engineering teams create clean usable interfaces "
"163","ui developerux designer css html javascript interaction design needed growing media company austin tx profitable webbased product company rapidly expanding client base organization service offering changing way people interact favorite types media order ensure continuously expanding product suite remains usable attractive users need hiring user interface developer user experience designer background css html javascript track record success building simple elegant designs webbased applications need position heavy user interface design experience experience designing interaction within applications just visuals solid experience javascript html strong css experience ideally within framework utilizing extensions like less sass background user experience design web applications just desktop applications splash pages mobile apps bachelors degree higher humancomputer interaction hci related design field competitive salary full benefits highenergy environment immense growth opportunity within role organization buzz new company stability industry giant will mix interaction design graphic design frontend development prototypes final frontends webbased applications "
"164"," solutions provider across many vertical markets leader field highly demand services critical part clients ability business global scale based nyc looking skilled javascript developer assist high profile uiux projects seasoned javascript developer passion ux please read need position ability hand code core javascript years professional experience designing developing websoftware applications rich user interfaces variety technology platforms must passion user experience ux hci design skills expert ability javascript strong front end skills html css ood skills excellent client facing skills acting company representative building client relationship architect improve ux client web applications working multiple projects agile methodology researching new trends technologies build dynamic crossbrowser compliant experiences customers build rich internet application intranet style user experience support various house groups implementing new features communicate detailed plans timelines estimates clients"
"165","summary position astm user experience ux analyst will responsible maintaining uptodate user experience throughout astm websites including public private intranet sites analyst will ensure astm website consistently follows current web conventions adheres astm web style manual offers uptodate fresh web pages provides excellent user experience meeting goals analyst will work business units determine requirements new pages new functionality make usability design suggestions test web pages provide test results measure design effectiveness analyst will work closely astm web designers ensure business needs met incumbent works business units website frontend needs idea inception implementation final outcome projects meet needs business unit end users well follow website best practices astm style works closely astm web designers providing direction ensuring required outcomes met works analysts project managers ensure projects conform style guidelines maintains astm website style guide updates adds new elements necessary enforces astm website style guide practice ensures guide rules followed modified necessary consistently works entire astm website improve following items design content information architecture navigation user flow conversions prospect customer member ensures latest standards conventions best practices used throughout site works developers ensure design properly implemented conducts b testing appropriate employs usage data make thoughtful updates conducts user testing determine site usability adjusts site necessary administers implements necessary site feedback mechanisms tools analyzes site analytics data meaningful information shares business units creates wireframes works independently minimum supervision keeps current advances technology technique e web clientserver agile development techniques relational database methodology communicates design issues nontechnical customers members staff needed attends web design usability ux events keeps management informed new developments qualifications experience working end users gathering requirements writing specification documents experience facilitating meetings experience adobe creative suite working knowledge understanding design relates user experience attention detail working knowledge understanding industry best practices experience analytics packages experience creating navigation structures information architecture working knowledge modern web technologies responsive design modern design frameworks mobile design bootstrap html css javascript college degree design human interaction emphasis required excellent communication interpersonal skills oral written listening ability prepare deliver presentations technical managerial positions ability work stressful situations guide business users necessary willingness continue education developments fields web design human interaction information architecture"
"166","prolim corporation wwwprolimcom seeking user experience architect one client chicago il experience required years experience user experience architect job description design present user experience documentation including wireframes mockups flows conceptual diagrams task flows site maps client envision design user experience onboarding error correction completion conduct research including surveys contextual interviews user persona development usability studies understand user experience idealized client desired candidate profile experience working information architect interaction designer user experience designer experience retail merchandisingmarketing advertising product development ecommerce related field experience usability testing including preparation execution analysis familiarity current user experience usability research theories best practices methodologies degree related field information design humancomputer interaction library science cognitive science graphic design industrial design"
"167","wireframing design documentation req gathering internalexternal business units design reviews front end development meetings developers visual designers periodic mockups flows diagrams years uxa experience strong wireframing capabilities omnigraffle visio confidence abilitiesstrong presentation skills attention detail ability hit ground running will lots presentationsmeetings needs independent hci human computer interaction comparable degree ecommerce experience axure experience"
"168","position summary user interface experience uix architect reports vice president rd responsible user experience ui standards designs process vision revitas flex applications uix architect evangelist leader uix best practices revitas will drive vision strategy importantly implementation uix best practices entire revitas suite uix architect chartered nothing short industry leading usability experience revitas customers partners users duties responsibilities define develop implement consistent best practice enterprise software uix designs design develop scenario based uix templates visio html css javascript use elaboration construction phase design develop interaction information model standards artifacts lead core uix designs critical use cases review improve uix designs application development teams engage relevant internal plm sales marketing professional services technical support external customers prospects partners analysts audiences critical uix feedback improvement lead uix testing measuring improve uix designs standards processes evangelize train development solutions engineering professional services uix standards best practices qualifications bachelors masters science arts user interaction information human centered design equivalent years enterprise uix design development architecture experience minimum years leading software companies expert knowledge uix standards best practices including accessibility ada compliance navigation layout iconography internationalization localization data visualization interaction design information architecture design successfully lead uix software projects one leading software companies successfully designed developed implemented uix standards processes one leading software companies include design visio templates code samples process artifacts expert working knowledge ui technologies including html css javascript ajax xml jsps jsfs well related jee net technologies superb verbal written persuasion communication skills internal product managers engineers external customers prospects audiences superb work ethic desire succeed tight deadlines"
"169","job details role senior user experience architect location new york ny duration months contract high possibility extension senior experience architect acts customer experience expert clients product experience group person will responsible crafting user experience design web mobile desktop applications senior ea will also assist user experience ux manager development maintenance standard interaction guidelines role will interface frequently product technology managers helping discoverdefinedevelop user business functional requirements required experience ability work effectively across products communicated ideas quickly works effectively various business groups design team members technology departments strong competitive research skills deep understanding industry web application design best practices passion creating elegant data visualizations years experience required interactive design usability engineering related area experience designing complex metadatadriven web applications software proficiencies adobe creative suite axure visio morae user testing analysis tool ms office suite responsibilities create maintain project resourcing plans clients product experience group create information architecture conceptual models documentation complex datadriven web applications translate businesscustomer needs wireframes interactive prototypes create global interaction design specifications contribute evolution visual design guidelines"
"170","position ux architect location northbrook il duration months rate hr negotiable scope user experience architect responsible applying knowledge usercentered design methods humancomputer interaction industry best practices drive useful usable interface design solutions primary activity translating business requirements user interface design specifications position also requires ability create estimates project plans related usercentered design efforts define user profiles usability objectives aligned business goals plan conduct facilitate iterative evaluations user interface designs user experience architect will member user experience team will assigned projects independently work products plans will reviewed senior team member quality project work conducted within multidisciplinary team project managers business analysts systems analysts developers solution architects business process experts initial project requirements identified business analysts business process experts user experience architect reviews initial requirements assists identifying various usage scenarios underlying user business needs user experience architect evaluates complexity project prepares project plan activities within expectations overall project final deliverable will user interface design specification document produced within visio tools also available producing interim design deliverables per skill setpreference individual include photoshop illustrator axure dreamweaver moderate extensive user interface enhancements candidates enduser research user experience architect will recommend conduct user centered design activities appropriate project project work driven various business units include sales customer service marketing claims current posting immediate need within claims area course assignment resource may placed projects within business units depending project demand allstate large countrywide workforce claims use various software applications perform jobs functionality direct customer usage continues expand within allstate website well mobile devices also claims applications used auto repair shop personnel majority applications require ui design work webbased coded within net business units produce web applications net java portals mobile apps requirements applicants provide work samples proper consideration copyright restrictions either resume via link website temporarily share inperson interview applicant position must wellrounded background least years proven experience aspects user centered design strong communication behavioral skills also necessity able facilitate conversations business technical partners need actively seek information needed understand existing business processes systems requires clear sense ownership project assignments need rapidly gain solid understanding enduser tasks goals well demonstrate knowledge walking reviewers usage scenarios defending design decisions software development skills needed position visual graphic design skills required either position focused structural functional interaction design user interfaces wireframe level prototyping skills plus optional dedicated prototyping resources members team "
"171"," seeking digital content developer join consumer direct digital marketing division exciting role will join dynamic digital team focused providing fantastic online consumer experience millions online consumers visit oure web social mobile channels will play integral role apply frontend development content management expertise create compelling intuitive online experiences delight consumers role will collaborate many team members across enterprise including digital marketing managers ux designers web developers role may perfect wellrounded web content developer proficient ecommerce content management systems solid understanding respect applied web standards relentless learning emerging online technologies role can based wakefield ma waterbury vt responsibilities create edit maintain digital content product information assets online product catalog content management system cms create site layout user interfaces provided design concepts using standard html css practices develop enhance support frontend browser web applications using javascript ajaxjquery html css xml sitecore cms responsible production content releases scheduled needed support business serve bridge ux designers web development teams develop deliver superb intuitive interactive digital experiences achieve seo brand ecommerce user experience goals participate design brainstorming sessions design reviews provide technical guidance digital design teams template design browser limitations technology ensure pages programmed errorfree crossbrowser crossplatform optimized download performance perform quality assurance new code inception integration staging production environments create templates libraries reuse improved efficiency seek improvement overall content management processes drive implementation changes solutions stay cutting edge new emerging industry trends tools ideas used overall cohesiveness functionality appearance digital properties conduct content audits online properties document processes standard operating procedures support standardized team workflow bachelors degree computer science graphic design related field solid understanding experience ecommerce web content management systems required eg sitecore years hands experience ability handcode html html xhtml css css web standards major browsers including coding mobile platforms responsive design knowledge ajax javascript libraries like jquery jquery mobile jqueryui proficient adobe creative suite image optimization ability troubleshoot crossbrowser compatibility issues multiple versions internet explorer mozilla firefox apple safari google chrome mobile browsers solid understanding respect applied web standards compliance progressive enhancement responsive web design crossbrowser support related best practices strong desire learn stay abreast new emerging trends demonstrated ability master new technologies ability work well independently team excellent communicator written oral communications perfectionist makes sure every pixel right place mindful details yet conscious big picture strong sense ownership urgency ability juggle multiple projects set priorities meet deadlines working concurrently multiple projects challenging deadlines ability thrive dynamic collaborative fast paced environment strong interpersonal skills ability uphold safety standards participates continuous process improvement job follows business best practices ability follow gmcr policies procedures travel support unique needs direct digital business required outside office hours strong preference candidate online retailer ecommerce background"
"172"," team looking experienced ui designer support creative app design efforts hands designer can make huge impact dynamic fast moving business equally comfortable working independent project working within close knit team passion bringing best mobile experience customers comfortable working multiple platforms iphone android position idevices needs top class ui designer launch mobile apps appenabled products variety platforms role requires working closely creative management app team define strategy requirements leading development teams design delivery subsequent operation position involves regular communication senior management status risks product strategy excellent listening writing skills strong technical competencies essential experience working app design ios android huge plus mobile design must position house remote candidates will considered responsibilities work within collaborative team develop strategies design mobile apps develop wireframes able explain logic research communicate trends bestpractices relation ios android apps support house marketing efforts usability functionality testing take project rom concept wireframes layout way live app requirements years experience graphic design years experience mobile ui design major plus experience using adobe suite particularly illustrator photoshop experience omnigraffle sketch balsamiq preferred ability work house days week avon ct office"
"173"," key member product development team designer will responsible development execution high end creative solutions interaction design concepts leadingedge web based solutions software designer will apply usercentered design methods translate user needs business objectives technology capabilities world class experiences leading companies essential functions creates high end visual ui designs internet frontend applications consults project team evaluate individual project needs utilizes various graphical software tools technologies transform graphical concepts specific digital images online modifies implements designs generated others ensure quality products prepares presents final layout suggests improvements needed project teams aggressively keeps date industrywide changes design philosophy new tools technologies used internet collaborates developers design delivery graphical content end users presents designs team members constituents stake holders backs defends design rational manages executes final concept completion project develops defines design standards form style guides creates contributes production user interface production documentation personas scenarios use cases wireframe drawings identifies tools templates techniques evolve existing approaches design designs place within engineering process performs related duties assigned educationexperience bachelors degree preferred design related discipline graphic design information interface design human computer interaction communication design minimum years industry experience knowledgeskills strong design skills focusing user interface typography layout color navigation must proven design experience working ui experience designing mobile interfaces plus proficient expert photoshop illustrator working knowledge html xhtml css web standards knowledge internet environment experience working information architects translating wireframes site maps functional specifications branding requirements working site must strong portfolio containing examples professional design work emphasis websoftware design strong can attitude flexibility commitment creative excellence face changing priorities requirements candidates must wellversed usercentered design methods techniques usability testing experience focus group testing experience plus excellent verbal written skills experience working multiple projects simultaneously ability work collaboratively multidisciplinary teams "
